gamedetails,gamedetails-href,scoredetails,matchdate,CountryTeam1,Scoredetails,goaldetails
"4 - 1","http://soccerstats.us/games/250565/","Cuadrado 






    

    

17





    
    
    

    





    
  
  

    
    
    

    

45





    
    



Okazaki 






    

    





    
  
  

    
    



Martínez 






    

    

55





    
    
    

    





    
  
  

    
    



Martínez 






    

    

82





    
    
    

    





    
  
  

    
    



Rodríguez 






    

    

90","Tuesday, June 24, 2014","[{""CountryTeam1"":""Colombia""},{""CountryTeam1"":""Japan""}]","[{""Scoredetails"":""17""},{""Scoredetails"":""45""},{""Scoredetails"":""55""},{""Scoredetails"":""82""},{""Scoredetails"":""90""}]","[{""goaldetails"":""Cuadrado ""},{""goaldetails"":""17""},{""goaldetails"":""45""},{""goaldetails"":""Okazaki""},{""goaldetails"":""Martínez ""},{""goaldetails"":""55""},{""goaldetails"":""Martínez ""},{""goaldetails"":""82""},{""goaldetails"":""Rodríguez ""},{""goaldetails"":""90""}]"
"3 - 0","http://soccerstats.us/games/250459/","Benzema 






    

    

45





    
    
    

    





    
  
  

    
    



Valladares 


Own Goal





    

    

48





    
    
    

    





    
  
  

    
    



Benzema 






    

    

72","Sunday, June 15, 2014","[{""CountryTeam1"":""France""},{""CountryTeam1"":""Honduras""}]","[{""Scoredetails"":""45""},{""Scoredetails"":""48""},{""Scoredetails"":""72""}]","[{""goaldetails"":""Benzema ""},{""goaldetails"":""45""},{""goaldetails"":""Valladares ""},{""goaldetails"":""Own Goal""},{""goaldetails"":""48""},{""goaldetails"":""Benzema ""},{""goaldetails"":""72""}]"
"1 - 3","http://soccerstats.us/games/250415/","12





    
    



Sanchez 






    

    





    
  
  

    
    
    

    

14





    
    



Valdivia 






    

    





    
  
  

    
    



Cahill 






    

    

35





    
    
    

    





    
  
  

    
    
    

    

90





    
    



Beausejour","Friday, June 13, 2014","[{""CountryTeam1"":""Australia""},{""CountryTeam1"":""Chile""}]","[{""Scoredetails"":""12""},{""Scoredetails"":""14""},{""Scoredetails"":""35""},{""Scoredetails"":""90""}]","[{""goaldetails"":""12""},{""goaldetails"":""Sanchez""},{""goaldetails"":""14""},{""goaldetails"":""Valdivia""},{""goaldetails"":""Cahill ""},{""goaldetails"":""35""},{""goaldetails"":""90""},{""goaldetails"":""Beausejour""}]"
"0 - 1","http://soccerstats.us/games/250413/","61





    
    



Peralta","Friday, June 13, 2014","[{""CountryTeam1"":""Cameroon""},{""CountryTeam1"":""Mexico""}]","[{""Scoredetails"":""61""}]","[{""goaldetails"":""61""},{""goaldetails"":""Peralta""}]"
"2 - 0","http://soccerstats.us/games/250652/","Pogba 






    

    

79





    
    
    

    





    
  
  

    
    



Yobo 


Own Goal





    

    

90","Monday, June 30, 2014","[{""CountryTeam1"":""France""},{""CountryTeam1"":""Nigeria""}]","[{""Scoredetails"":""79""},{""Scoredetails"":""90""}]","[{""goaldetails"":""Pogba ""},{""goaldetails"":""79""},{""goaldetails"":""Yobo ""},{""goaldetails"":""Own Goal""},{""goaldetails"":""90""}]"
"4 - 1","http://soccerstats.us/games/250552/","Neymar 






    

    

17





    
    
    

    





    
  
  

    
    
    

    

26





    
    



Matip 






    

    





    
  
  

    
    



Neymar 






    

    

35





    
    
    

    





    
  
  

    
    



Fred 






    

    

49





    
    
    

    





    
  
  

    
    



Fernandinho 






    

    

84","Monday, June 23, 2014","[{""CountryTeam1"":""Brazil""},{""CountryTeam1"":""Cameroon""}]","[{""Scoredetails"":""17""},{""Scoredetails"":""26""},{""Scoredetails"":""35""},{""Scoredetails"":""49""},{""Scoredetails"":""84""}]","[{""goaldetails"":""Neymar ""},{""goaldetails"":""17""},{""goaldetails"":""26""},{""goaldetails"":""Matip""},{""goaldetails"":""Neymar ""},{""goaldetails"":""35""},{""goaldetails"":""Fred ""},{""goaldetails"":""49""},{""goaldetails"":""Fernandinho ""},{""goaldetails"":""84""}]"
"1 - 2","http://soccerstats.us/games/250444/","35





    
    



Marchisio 






    

    





    
  
  

    
    



Sturridge 






    

    

37





    
    
    

    





    
  
  

    
    
    

    

50





    
    



Balotelli","Saturday, June 14, 2014","[{""CountryTeam1"":""England""},{""CountryTeam1"":""Italy""}]","[{""Scoredetails"":""35""},{""Scoredetails"":""37""},{""Scoredetails"":""50""}]","[{""goaldetails"":""35""},{""goaldetails"":""Marchisio""},{""goaldetails"":""Sturridge ""},{""goaldetails"":""37""},{""goaldetails"":""50""},{""goaldetails"":""Balotelli""}]"
"0 - 0","http://soccerstats.us/games/250461/","","Monday, June 16, 2014","[{""CountryTeam1"":""Iran""},{""CountryTeam1"":""Nigeria""}]","[]","[]"
"0 - 3","http://soccerstats.us/games/250804/","3





    
    



Van Persie 






    

    





    
  
  

    
    
    

    

17





    
    



Blind 






    

    





    
  
  

    
    
    

    

90





    
    



Wijnaldum","Saturday, July 12, 2014","[{""CountryTeam1"":""Brazil""},{""CountryTeam1"":""Netherlands""}]","[{""Scoredetails"":""3""},{""Scoredetails"":""17""},{""Scoredetails"":""90""}]","[{""goaldetails"":""3""},{""goaldetails"":""Van Persie""},{""goaldetails"":""17""},{""goaldetails"":""Blind""},{""goaldetails"":""90""},{""goaldetails"":""Wijnaldum""}]"
"1 - 1","http://soccerstats.us/games/250474/","68





    
    



Lee Keun-Ho 






    

    





    
  
  

    
    



Kerzhakov 






    

    

74","Tuesday, June 17, 2014","[{""CountryTeam1"":""Russia""},{""CountryTeam1"":""South Korea""}]","[{""Scoredetails"":""68""},{""Scoredetails"":""74""}]","[{""goaldetails"":""68""},{""goaldetails"":""Lee Keun-Ho""},{""goaldetails"":""Kerzhakov ""},{""goaldetails"":""74""}]"
"1 - 2","http://soccerstats.us/games/250653/","92





    
    



Schurrle 






    

    





    
  
  

    
    



Djabou 






    

    

120





    
    
    

    





    
  
  

    
    
    

    

120





    
    



Ozil","Monday, June 30, 2014","[{""CountryTeam1"":""Algeria""},{""CountryTeam1"":""Germany""}]","[{""Scoredetails"":""92""},{""Scoredetails"":""120""},{""Scoredetails"":""120""}]","[{""goaldetails"":""92""},{""goaldetails"":""Schurrle""},{""goaldetails"":""Djabou ""},{""goaldetails"":""120""},{""goaldetails"":""120""},{""goaldetails"":""Ozil""}]"
"0 - 0","http://soccerstats.us/games/250717/","","Saturday, July 05, 2014","[{""CountryTeam1"":""Costa Rica""},{""CountryTeam1"":""Netherlands""}]","[]","[]"
"1 - 2","http://soccerstats.us/games/250494/","39





    
    



Suarez 






    

    





    
  
  

    
    



Rooney 






    

    

75





    
    
    

    





    
  
  

    
    
    

    

85





    
    



Suarez","Thursday, June 19, 2014","[{""CountryTeam1"":""England""},{""CountryTeam1"":""Uruguay""}]","[{""Scoredetails"":""39""},{""Scoredetails"":""75""},{""Scoredetails"":""85""}]","[{""goaldetails"":""39""},{""goaldetails"":""Suarez""},{""goaldetails"":""Rooney ""},{""goaldetails"":""75""},{""goaldetails"":""85""},{""goaldetails"":""Suarez""}]"
"0 - 0","http://soccerstats.us/games/250568/","","Tuesday, June 24, 2014","[{""CountryTeam1"":""Costa Rica""},{""CountryTeam1"":""England""}]","[]","[]"
"5 - 1","http://soccerstats.us/games/250414/","27





    
    



Alonso 






    

    





    
  
  

    
    



Van Persie 






    

    

44





    
    
    

    





    
  
  

    
    



Robben 






    

    

53





    
    
    

    





    
  
  

    
    



De Vrij 






    

    

65





    
    
    

    





    
  
  

    
    



Van Persie 






    

    

72





    
    
    

    





    
  
  

    
    



Robben 






    

    

80","Friday, June 13, 2014","[{""CountryTeam1"":""Netherlands""},{""CountryTeam1"":""Spain""}]","[{""Scoredetails"":""27""},{""Scoredetails"":""44""},{""Scoredetails"":""53""},{""Scoredetails"":""65""},{""Scoredetails"":""72""},{""Scoredetails"":""80""}]","[{""goaldetails"":""27""},{""goaldetails"":""Alonso""},{""goaldetails"":""Van Persie ""},{""goaldetails"":""44""},{""goaldetails"":""Robben ""},{""goaldetails"":""53""},{""goaldetails"":""De Vrij ""},{""goaldetails"":""65""},{""goaldetails"":""Van Persie ""},{""goaldetails"":""72""},{""goaldetails"":""Robben ""},{""goaldetails"":""80""}]"
"1 - 0","http://soccerstats.us/games/250531/","Messi 






    

    

90","Saturday, June 21, 2014","[{""CountryTeam1"":""Argentina""},{""CountryTeam1"":""Iran""}]","[{""Scoredetails"":""90""}]","[{""goaldetails"":""Messi ""},{""goaldetails"":""90""}]"
"1 - 2","http://soccerstats.us/games/250473/","Feghouli 






    

    

25





    
    
    

    





    
  
  

    
    
    

    

70





    
    



Fellaini 






    

    





    
  
  

    
    
    

    

80





    
    



Mertens","Tuesday, June 17, 2014","[{""CountryTeam1"":""Algeria""},{""CountryTeam1"":""Belgium""}]","[{""Scoredetails"":""25""},{""Scoredetails"":""70""},{""Scoredetails"":""80""}]","[{""goaldetails"":""Feghouli ""},{""goaldetails"":""25""},{""goaldetails"":""70""},{""goaldetails"":""Fellaini""},{""goaldetails"":""80""},{""goaldetails"":""Mertens""}]"
"3 - 1","http://soccerstats.us/games/250403/","11





    
    



Marcelo 


Own Goal





    

    





    
  
  

    
    



Neymar 






    

    

29





    
    
    

    





    
  
  

    
    



Neymar 






    

    

71





    
    
    

    





    
  
  

    
    



Oscar 






    

    

90","Thursday, June 12, 2014","[{""CountryTeam1"":""Brazil""},{""CountryTeam1"":""Croatia""}]","[{""Scoredetails"":""11""},{""Scoredetails"":""29""},{""Scoredetails"":""71""},{""Scoredetails"":""90""}]","[{""goaldetails"":""11""},{""goaldetails"":""Marcelo""},{""goaldetails"":""Neymar ""},{""goaldetails"":""29""},{""goaldetails"":""Neymar ""},{""goaldetails"":""71""},{""goaldetails"":""Oscar ""},{""goaldetails"":""90""}]"
"0 - 1","http://soccerstats.us/games/250693/","13





    
    



Hummels","Friday, July 04, 2014","[{""CountryTeam1"":""France""},{""CountryTeam1"":""Germany""}]","[{""Scoredetails"":""13""}]","[{""goaldetails"":""13""},{""goaldetails"":""Hummels""}]"
"0 - 1","http://soccerstats.us/games/250567/","81





    
    



Godín","Tuesday, June 24, 2014","[{""CountryTeam1"":""Italy""},{""CountryTeam1"":""Uruguay""}]","[{""Scoredetails"":""81""}]","[{""goaldetails"":""81""},{""goaldetails"":""Godín""}]"
"1 - 2","http://soccerstats.us/games/250566/","42





    
    



Samaris 






    

    





    
  
  

    
    



Bony 






    

    

74





    
    
    

    





    
  
  

    
    
    

    

90





    
    



Samaras","Tuesday, June 24, 2014","[{""CountryTeam1"":""Côte d'Ivoire""},{""CountryTeam1"":""Greece""}]","[{""Scoredetails"":""42""},{""Scoredetails"":""74""},{""Scoredetails"":""90""}]","[{""goaldetails"":""42""},{""goaldetails"":""Samaris""},{""goaldetails"":""Bony ""},{""goaldetails"":""74""},{""goaldetails"":""90""},{""goaldetails"":""Samaras""}]"
"0 - 0","http://soccerstats.us/games/250493/","","Thursday, June 19, 2014","[{""CountryTeam1"":""Greece""},{""CountryTeam1"":""Japan""}]","[]","[]"
